title,price,photo_url,description,stock,merchant_id,active
Shrooms,4.9,https://i.imgur.com/vG4pjTp.jpg,a plant that can be merged into Golden Mushrooms,10,1,true
Biollante,4.5,https://i.imgur.com/aJW8Kkz.jpg,a monster plant of titanic proportions,15,1,true
Transfiguration,26,https://i.imgur.com/ZebruqT.jpg,by Emeric Switch,2,7,true
Dyson tree,20,https://i.imgur.com/INj4OrW.jpg,a genetically-engineered plant capable of growing on a comet,10,1,true
Integral tree,55,https://i.imgur.com/rAwT2VX.jpg,enormous tree 100 kilometers long with a leafy tuft at each end oriented in opposite directions forming the integral symbol ∫,3,1,true
Wolf Flower,15.99,https://i.imgur.com/rAwT2VX.jpg,an extremely rare phosphorescent plant found only in the mountains of Tibet,15,1,false
Plant Men of Barsoom,155,https://i.imgur.com/rAwT2VX.jpg,a race of humanoid plant,5,1,true
Re-annual plant,12.99,https://i.imgur.com/rAwT2VX.jpg,plants which due to a rare 4-dimensional twist in their genetic structure flower and grow before their seed germinates,20,1,true
Red weed,34.5,https://i.imgur.com/rAwT2VX.jpg,a red plant from Mars brought to Earth accidentally by the invading Martians,4,1,true
Tesla tree,450,https://i.imgur.com/rAwT2VX.jpg,large electrified tree from the planet Hyperion,10,1,true
Tree-of-Life,45,https://i.imgur.com/rAwT2VX.jpg,the ancestor of yams with similar appearance and taste,40,1,true
Triffid,15,https://i.imgur.com/rAwT2VX.jpg,carnivorous plant which possesses a whip-like poisonous sting as well as mobility by three foot-like appendages,1,1,true
Athelas,5.55,https://i.imgur.com/rAwT2VX.jpg,a healing plant with long leaves,44,2,true
Elanor,3.99,https://i.imgur.com/rAwT2VX.jpg,a small star-shaped yellow flower,20,2,false
Gillyweed,14,https://i.imgur.com/rAwT2VX.jpg,seaweed-like plant which when you eat it allows you to breathe underwater for a short period of time,12,2,true
Mandrake,55,https://i.imgur.com/rAwT2VX.jpg,tubers that look like babies when young. Their screams can kill when fully grown,3,2,true
Whomping willow,34.99,https://i.imgur.com/rAwT2VX.jpg,a tree which has club-like branches which can move,4,2,true
Firemoss,4.99,https://i.imgur.com/rAwT2VX.jpg,red-brown moss that when activated by rubbing releases wisps of smoke that create feelings of euphoria when inhaled and is used as a recreational drug,16,2,true
Tears of Edgli,3.59,https://i.imgur.com/rAwT2VX.jpg,Vibrantly colored flowers that grow only in the temperate T’Telir climate,12,2,true
Dorim vines,10,https://i.imgur.com/rAwT2VX.jpg,Dorim vines live under the sand that covers most of Taldain’s Dayside continent reaching down to the water table where they fill themselves with water as a defensive mechanism against predators,15,2,false
Hangman tree,34,https://i.imgur.com/rAwT2VX.jpg,a tree that will attempt to strangle anyone who ventures under it,1,2,true
Kelpie,12,https://i.imgur.com/rAwT2VX.jpg,a shape-shifting mass of animate seaweed that can imitate a woman or other creatures and drowns its victims,5,2,true
Oaken defender,21,https://i.imgur.com/rAwT2VX.jpg,an enormous disk-shaped plant that lives in dryad groves and assists in their defense,2,2,true
Oblivion moss,12,https://i.imgur.com/rAwT2VX.jpg,black moss that steals memories from intelligent creatures,8,2,true
Phantom fungus,20,https://i.imgur.com/rAwT2VX.jpg,a dangerous subterranean plant that grapples victims with tentacles,4,3,false
Shambling mound,30.99,https://i.imgur.com/rAwT2VX.jpg,an atrocious plant-like creature also called a shambler,3,3,true
Tendriculos,12,https://i.imgur.com/rAwT2VX.jpg,an enormous sentient plant resembling a huge tangled shrubbery,2,3,true
Apple wand,24,https://i.imgur.com/vHrp5Wl.jpg,applewood wands are powerful and best suited to an owner of high aims and ideals,4,3,true
Ash wand,34,https://i.imgur.com/vHrp5Wl.jpg,an ash wand cleaves to its one true master and ought not to be passed on or gifted from the original owner because it will lose power and skill,9,3,false
Aspen wand,22.9,https://i.imgur.com/vHrp5Wl.jpg,wand-quality aspen wood is white and fine-grained and highly prized by all wand-makers for its stylish resemblance to ivory and its usually outstanding charmwork,4,3,true
Blackthorn wand,31,https://i.imgur.com/vHrp5Wl.jpg,blackthorn has the reputation of being best suited to a warrior,5,3,true
Black Walnut wand,29,https://i.imgur.com/vHrp5Wl.jpg,less common than the standard walnut wand that of black walnut seeks a master of good instincts and powerful insight,7,8,true
Cypress wand,15,https://i.imgur.com/vHrp5Wl.jpg,cypress wands are associated with nobility,10,8,false
Elder wand,30.99,https://i.imgur.com/vHrp5Wl.jpg,the rarest wand wood of all and reputed to be deeply unlucky,8,8,true
Elm wand,25,https://i.imgur.com/vHrp5Wl.jpg,the unfounded belief that only pure-bloods can produce magic from elm wands was undoubtedly started by some elm wand owner seeking to prove his own blood credentials,2,8,true
English Oak wand,34,https://i.imgur.com/vHrp5Wl.jpg,this is a friend as loyal as the wizard who deserves it,16,8,true
Hazel wand,21,https://i.imgur.com/vHrp5Wl.jpg,hazel often reflects its owner’s emotional state and works best for a master who understands and can manage their own feelings,7,8,false
Holly wand,32.99,https://i.imgur.com/vHrp5Wl.jpg,holly is one of the rarer kinds of wand woods,8,8,true
Larch wand,23.55,https://i.imgur.com/vHrp5Wl.jpg,larch has long been valued as an attractive and powerful wand wood,12,8,true
Laurel wand,12,https://i.imgur.com/vHrp5Wl.jpg,it is said that a laurel wand cannot perform a dishonourable act,12,8,true
Pear wand,34.99,https://i.imgur.com/vHrp5Wl.jpg,his golden-toned wood produces wands of splendid magical powers which give of their best in the hands of the warm-hearted and the wise,6,4,true
